"Shape" "TSR_Breadth" "Peak_Count" "Total_Count" "Tag_Ratio" "Midpoint" "Start" "End"
"AT1G03080" "1.28892801246206" "40" "25" "1143" "0.0218722659667542" "732072" "732051" "732090"
"AT1G03090" "1.53565398009602" "38" "20" "812" "0.0246305418719212" "741976" "741955" "741992"
"AT1G03110" "1.9000000002794" "2" "7" "104" "0.0673076923076923" "749297" "749297" "749298"
"AT1G03130" "2.70743995911408" "65" "153" "328" "0.466463414634146" "754179" "754151" "754215"
"AT1G03140" "2.3871879043445" "9" "211" "688" "0.306686046511628" "756266" "756262" "756270"
"AT1G03150" "1.67142399222955" "17" "82" "257" "0.319066147859922" "756424" "756418" "756434"
"AT1G03160" "16.2844789593415" "32" "165" "458" "0.360262008733624" "761283" "761264" "761295"
"AT1G03180" "Completely_Peaked" "1" "9" "62" "0.145161290322581" "773359" "773359" "773359"
"AT1G03190" "1.49999999976717" "2" "27" "204" "0.132352941176471" "776201" "776201" "776202"
"AT1G03210" "7.82689131058291" "50" "148" "712" "0.207865168539326" "782945" "782940" "782989"
"AT1G03220" "12.7948824033716" "18" "7806" "17816" "0.438145487202515" "787125" "787120" "787137"
"AT1G03230" "1.77256037113087" "264" "1593" "1892" "0.841966173361522" "790141" "790067" "790330"
"AT1G03250" "16.1723744862121" "71" "33" "433" "0.0762124711316397" "793476" "793470" "793540"
"AT1G03260" "9.95453543167018" "72" "14" "366" "0.0382513661202186" "798272" "798258" "798329"
"AT1G03270" "1.36624095014371" "12" "18" "70" "0.257142857142857" "799129" "799122" "799133"
"AT1G03280" "14.9327520829786" "75" "149" "1140" "0.130701754385965" "805294" "805260" "805334"
"AT1G03290" "Completely_Peaked" "1" "12" "188" "0.0638297872340425" "809492" "809492" "809492"
"AT1G03310" "1.16666666658906" "3" "10" "84" "0.119047619047619" "813514" "813513" "813515"
"AT1G03330" "3.26232063313285" "87" "1179" "2364" "0.498730964467005" "819376" "819330" "819416"
"AT1G03350" "3.58940143847471" "95" "153" "568" "0.269366197183099" "824334" "824290" "824384"
"AT1G03360" "1.23748646769216" "45" "41" "184" "0.222826086956522" "824911" "824891" "824935"
"AT1G03365" "5.22815753734722" "3" "16" "452" "0.0353982300884956" "828635" "828634" "828636"
"AT1G03370" "1.97276868276683" "169" "930" "1721" "0.540383497966299" "830702" "830592" "830760"
"AT1G03380" "3.23630484781392" "55" "30" "1084" "0.0276752767527675" "835945" "835917" "835971"
"AT1G03400" "1.54553366052583" "8" "21" "74" "0.283783783783784" "844183" "844179" "844186"
"AT1G03410" "6.00796922680971" "3" "57" "398" "0.14321608040201" "846427" "846425" "846427"
"AT1G03430" "1.78040145438591" "129" "212" "1167" "0.181662382176521" "846758" "846712" "846840"
"AT1G03440" "3.15078428064021" "26" "12" "158" "0.0759493670886076" "853296" "853282" "853307"
"AT1G03457" "2.84580266671832" "4" "46" "332" "0.13855421686747" "861788" "861786" "861789"
"AT1G03470" "6.32954171167954" "21" "72" "183" "0.39344262295082" "867744" "867728" "867748"
"AT1G03475" "3.41219660634871" "63" "620" "1197" "0.51796157059315" "871193" "871153" "871215"
"AT1G03506" "1.36958022026293" "8" "50" "89" "0.561797752808989" "875898" "875894" "875901"
"AT1G03520" "9.51807817163742" "11" "492" "1055" "0.466350710900474" "880178" "880176" "880186"
"AT1G03530" "5.20683874965457" "37" "70" "292" "0.23972602739726" "883510" "883483" "883519"
"AT1G03550" "15.7730934699578" "357" "132" "465" "0.283870967741935" "886765" "886700" "887056"
"AT1G03560" "3.68277050630279" "6" "41" "180" "0.227777777777778" "892424" "892423" "892428"
"AT1G03590" "2.95766228134366" "58" "65" "471" "0.138004246284501" "896375" "896360" "896417"
"AT1G03600" "Completely_Peaked" "1" "14" "86" "0.162790697674419" "898927" "898927" "898927"
"AT1G03610" "1.82278215355536" "60" "144" "726" "0.198347107438017" "901201" "901180" "901239"
"AT1G03650" "2.61220898052272" "35" "53" "128" "0.4140625" "911184" "911160" "911194"
"AT1G03660" "2.25620285784951" "4" "44" "220" "0.2" "913482" "913480" "913483"
"AT1G03680" "2.64995321239711" "30" "74" "444" "0.166666666666667" "917982" "917970" "917999"
"AT1G03687" "1.57856000003219" "3" "28" "530" "0.0528301886792453" "920244" "920243" "920245"
"AT1G03700" "18.7059220521462" "7" "57" "142" "0.401408450704225" "920951" "920947" "920953"
"AT1G03730" "Completely_Peaked" "1" "12" "152" "0.0789473684210526" "931164" "931164" "931164"
"AT1G03740" "2.0249401150985" "3" "113" "1750" "0.0645714285714286" "936042" "936041" "936043"
"AT1G03750" "1.48621242546566" "73" "138" "289" "0.477508650519031" "937913" "937871" "937943"
"AT1G03760" "2.0966796875" "6" "32" "148" "0.216216216216216" "943402" "943399" "943404"
"AT1G03770" "1.05905538578295" "20" "17" "122" "0.139344262295082" "946667" "946658" "946677"
"AT1G03780" "Completely_Peaked" "1" "7" "100" "0.07" "950950" "950950" "950950"
"AT1G03790" "2" "3" "24" "56" "0.428571428571429" "954924" "954923" "954925"
"AT1G03820" "2.18764098858592" "4" "14" "124" "0.112903225806452" "960242" "960241" "960244"
"AT1G03830" "1.65454545454545" "4" "16" "170" "0.0941176470588235" "962282" "962281" "962284"
"AT1G03840" "3.67950111921363" "5" "27" "117" "0.230769230769231" "968418" "968415" "968419"
"AT1G03850" "1.16484283028359" "125" "1457" "2037" "0.715267550319097" "977713" "977650" "977774"
"AT1G03860" "7.86870045198113" "81" "640" "1567" "0.408423739629866" "981867" "981850" "981930"
"AT1G03870" "6.87874185513027" "100" "2731" "7675" "0.355830618892508" "983396" "983320" "983419"
"AT1G03900" "3.36328927849593" "116" "2555" "5664" "0.451094632768362" "991210" "991160" "991275"
"AT1G03905" "1.45772912207734" "27" "38" "172" "0.22093023255814" "993466" "993450" "993476"
"AT1G03910" "4.19552986114384" "36" "220" "894" "0.246085011185682" "996133" "996121" "996156"
"AT1G03920" "3.9605263161571" "3" "23" "106" "0.216981132075472" "1001165" "1001165" "1001167"
"AT1G03930" "1.58607356063099" "31" "27" "570" "0.0473684210526316" "1004957" "1004943" "1004973"
"AT1G03935" "Completely_Peaked" "1" "26" "128" "0.203125" "1008509" "1008509" "1008509"
"AT1G03950" "4.33030916818627" "31" "65" "288" "0.225694444444444" "1013329" "1013317" "1013347"
"AT1G03960" "2.72576210413581" "7" "79" "550" "0.143636363636364" "1013716" "1013714" "1013720"
"AT1G03970" "4.73288566971341" "4" "35" "332" "0.105421686746988" "1018178" "1018177" "1018180"
"AT1G04000" "4.88150850640518" "77" "397" "762" "0.520997375328084" "1029104" "1029046" "1029122"
"AT1G04010" "1.55936991289306" "5" "11" "217" "0.0506912442396313" "1032404" "1032403" "1032407"
"AT1G04020" "1.71925666965078" "10" "30" "84" "0.357142857142857" "1036537" "1036532" "1036541"
"AT1G04030" "1.55184774981438" "43" "156" "458" "0.34061135371179" "1040457" "1040431" "1040473"
"AT1G04040" "14.8909300664483" "38" "1096" "3291" "0.333029474323914" "1043862" "1043832" "1043869"
"AT1G04050" "1.00003341412568" "189" "34" "56" "0.607142857142857" "1050237" "1050143" "1050331"
"AT1G04070" "31.2433597499274" "10" "609" "2094" "0.290830945558739" "1050869" "1050861" "1050870"
"AT1G04080" "3.04596503933088" "50" "388" "1838" "0.211099020674646" "1051375" "1051349" "1051398"
"AT1G04100" "4.70063009315574" "14" "97" "280" "0.346428571428571" "1059472" "1059468" "1059481"
"AT1G04120" "2.52922688490507" "31" "38" "819" "0.0463980463980464" "1066110" "1066099" "1066129"
"AT1G04130" "2.65481673891631" "18" "8" "114" "0.0701754385964912" "1073421" "1073410" "1073427"
"AT1G04140" "2.7382498190516" "72" "86" "1732" "0.0496535796766744" "1078322" "1078300" "1078371"
"AT1G04160" "1.30350090380304" "3" "29" "172" "0.168604651162791" "1089157" "1089156" "1089158"
"AT1G04170" "3.59424951879798" "7" "862" "3034" "0.284113381674357" "1098083" "1098081" "1098087"
"AT1G04190" "3.53535168525873" "89" "156" "448" "0.348214285714286" "1108666" "1108620" "1108708"
"AT1G04200" "2.15714285618493" "2" "19" "692" "0.0274566473988439" "1111124" "1111123" "1111124"
"AT1G04210" "3.82274304028209" "21" "59" "874" "0.0675057208237986" "1114380" "1114365" "1114385"
"AT1G04220" "2.26753108083387" "79" "94" "2119" "0.0443605474280321" "1122408" "1122370" "1122448"
"AT1G04230" "3.10529986999741" "93" "385" "708" "0.543785310734463" "1125576" "1125550" "1125642"
"AT1G04240" "2.41735313846458" "7" "169" "935" "0.180748663101604" "1129287" "1129283" "1129289"
"AT1G04250" "7.54570976825023" "8" "352" "1650" "0.213333333333333" "1136299" "1136293" "1136300"
"AT1G04260" "1.52446645460809" "54" "239" "654" "0.365443425076453" "1141350" "1141322" "1141375"
"AT1G04270" "5.15926131446511" "41" "4712" "12195" "0.386387863878639" "1143045" "1143018" "1143058"
"AT1G04280" "1.56164936048245" "50" "56" "640" "0.0875" "1146364" "1146345" "1146394"
"AT1G04290" "Completely_Peaked" "1" "18" "120" "0.15" "1148454" "1148454" "1148454"
"AT1G04300" "1.47883280837096" "31" "18" "1768" "0.0101809954751131" "1149453" "1149439" "1149469"
"AT1G04310" "1.93810526867524" "25" "38" "159" "0.238993710691824" "1157830" "1157823" "1157847"
"AT1G04330" "4.28441049213837" "6" "42" "202" "0.207920792079208" "1161638" "1161636" "1161641"
"AT1G04340" "1.6667394533578" "42" "66" "283" "0.23321554770318" "1164841" "1164820" "1164861"
"AT1G04350" "2.55769230742366" "4" "17" "58" "0.293103448275862" "1165278" "1165276" "1165279"
"AT1G04360" "2.07105813698152" "44" "118" "489" "0.241308793456033" "1168609" "1168585" "1168628"
"AT1G04390" "6.35877772874233" "15" "132" "494" "0.267206477732794" "1183702" "1183693" "1183707"
"AT1G04400" "1.31283919454708" "10" "38" "1008" "0.0376984126984127" "1186536" "1186531" "1186540"
"AT1G04410" "6.21534433979613" "237" "6143" "11098" "0.553523157325644" "1191340" "1191240" "1191476"
"AT1G04420" "6.14285714285714" "7" "24" "60" "0.4" "1191597" "1191592" "1191598"
"AT1G04425" "1.51761626491356" "21" "43" "118" "0.364406779661017" "1196706" "1196692" "1196712"
"AT1G04430" "3.1453929836427" "44" "51" "1052" "0.0484790874524715" "1199550" "1199535" "1199578"
"AT1G04440" "4.83837656344273" "171" "1416" "2185" "0.648054919908467" "1202292" "1202190" "1202360"
"AT1G04480" "15.5773439496795" "37" "148" "2382" "0.0621326616288833" "1216106" "1216101" "1216137"
"AT1G04510" "3.62547552090738" "100" "701" "1932" "0.362836438923395" "1226590" "1226542" "1226641"
"AT1G04520" "2.59049333983488" "37" "31" "135" "0.22962962962963" "1231627" "1231605" "1231641"
"AT1G04530" "1.59792925046626" "90" "647" "1448" "0.446823204419889" "1236069" "1236015" "1236104"
"AT1G04550" "14.6831841070291" "22" "27" "298" "0.0906040268456376" "1240590" "1240573" "1240594"
"AT1G04555" "1.5" "4" "18" "68" "0.264705882352941" "1242704" "1242702" "1242705"
"AT1G04590" "1.4432084022892" "23" "17" "352" "0.0482954545454545" "1259546" "1259536" "1259558"
"AT1G04610" "2.25" "3" "9" "76" "0.118421052631579" "1279567" "1279566" "1279568"
"AT1G04620" "1.40268565620735" "7" "41" "188" "0.218085106382979" "1286544" "1286541" "1286547"
"AT1G04630" "1.62986460439645" "95" "698" "1392" "0.501436781609195" "1291056" "1291004" "1291098"
"AT1G04635" "1.57619047587338" "3" "31" "62" "0.5" "1291299" "1291298" "1291300"
"AT1G04640" "1.09859227222999" "66" "40" "206" "0.194174757281553" "1292774" "1292742" "1292807"
"AT1G04680" "3.8346188342944" "7" "107" "714" "0.149859943977591" "1307882" "1307880" "1307886"
"AT1G04690" "2.52772900198834" "49" "1151" "2831" "0.406570116566584" "1313577" "1313553" "1313601"
"AT1G04700" "3.58569799563026" "7" "21" "236" "0.0889830508474576" "1317337" "1317334" "1317340"
"AT1G04710" "1.60952380916902" "3" "22" "106" "0.207547169811321" "1321922" "1321921" "1321923"
"AT1G04730" "1.27182962081403" "9" "15" "130" "0.115384615384615" "1327415" "1327410" "1327418"
"AT1G04750" "3.06246284840083" "90" "1204" "2578" "0.467028704422033" "1333519" "1333480" "1333569"
"AT1G04760" "14.0666666666667" "4" "16" "66" "0.242424242424242" "1334595" "1334595" "1334598"
"AT1G04770" "1.45082010894136" "11" "119" "578" "0.205882352941176" "1337844" "1337840" "1337850"
"AT1G04778" "2.26272555178263" "6" "30" "128" "0.234375" "1339791" "1339789" "1339794"
"AT1G04780" "2.59407552700204" "43" "121" "1352" "0.0894970414201183" "1343585" "1343560" "1343602"
"AT1G04790" "1.78827253356964" "25" "49" "520" "0.0942307692307692" "1345529" "1345517" "1345541"
"AT1G04810" "2.29135776208965" "56" "308" "868" "0.354838709677419" "1350202" "1350180" "1350235"
"AT1G04820" "10.4423158621774" "20" "993" "3929" "0.252736065156528" "1358376" "1358363" "1358382"
"AT1G04830" "3.96803064975443" "113" "1333" "2886" "0.461884961884962" "1361966" "1361885" "1361997"
"AT1G04850" "1.36472393015876" "73" "582" "1928" "0.301867219917012" "1368765" "1368720" "1368792"
"AT1G04860" "1.42728849925096" "33" "210" "783" "0.268199233716475" "1373087" "1373070" "1373102"
